frame,x,y,z,xr,yr,zr
1,-45.019099999999995,-18.268099999999997,21.248,0,0,173.493
2,-28.5593,-11.937999999999999,21.248,0,0,167.032
3,-58.830999999999996,-5.883609999999999,21.248,0,0,179.84799999999998
4,-10.0492,-31.998,21.248,0,0,101.552
5,-7.52653,-53.188199999999995,21.248,0,0,94.7091
6,-45.0298,-5.25799,21.248,0,0,173.93200000000002
